,Columns,Importance
0,feature_4,0.0
1,feature_7,0.10135135
2,feature_11,0.006756757
3,feature_12,0.04054054
4,feature_15,0.013513514
5,feature_16,0.04391892
6,feature_23,0.010135135
7,feature_26,0.010135135
8,feature_31,0.006756757
9,feature_32,0.0
10,feature_33,0.0
11,feature_34,0.016891891
12,feature_35,0.013513514
13,feature_40,0.006756757
14,feature_41,0.010135135
15,feature_42,0.0033783785
16,feature_50,0.0
17,feature_52,0.037162162
18,feature_56,0.006756757
19,feature_60,0.0033783785
20,feature_64,0.010135135
21,feature_65,0.016891891
22,feature_71,0.0033783785
23,feature_72,0.006756757
24,ind_acc_70,0.06081081
25,payment_history_mean_length,0.033783782
26,months_last_30_plus,0.02364865
27,mean_mon_30p,0.04054054
28,current_age_max,0.0033783785
29,mean_diff_lastpaymt_opened_dt,0.04054054
30,ratio_currbalance_creditlimit,0.054054055
31,mean_curr_bal,0.030405406
32,mean_credit_limit,0.07094595
33,mean_cashlimit,0.050675675
34,ind_enq_70,0.016891891
35,count_enquiry_recency_365,0.06081081
36,count_enquiry_recency_90,0.054054055
37,perc_unsecured_others,0.06081081
38,diff_feature_30,0.027027028
39,diff_feature_39,0.0033783785
