,Columns,Importance
0,feature_4,0.008528785
1,feature_7,0.06325515
2,feature_11,0.0021321962
3,feature_12,0.027007818
4,feature_15,0.029850746
5,feature_16,0.04477612
6,feature_23,0.0028429283
7,feature_26,0.0120824445
8,feature_31,0.0042643924
9,feature_32,0.0063965884
10,feature_33,0.0021321962
11,feature_34,0.0035536604
12,feature_35,0.026297087
13,feature_40,0.021321962
14,feature_41,0.022032693
15,feature_42,0.0
16,feature_50,0.0014214641
17,feature_52,0.019900497
18,feature_56,0.0063965884
19,feature_60,0.0035536604
20,feature_64,0.0120824445
21,feature_65,0.025586354
22,feature_71,0.013503909
23,feature_72,0.0035536604
24,ind_acc_70,0.031982943
25,payment_history_mean_length,0.054015636
26,months_last_30_plus,0.02061123
27,mean_mon_30p,0.027007818
28,current_age_max,0.014214641
29,mean_diff_lastpaymt_opened_dt,0.07036247
30,ratio_currbalance_creditlimit,0.054015636
31,mean_curr_bal,0.042643923
32,mean_credit_limit,0.05970149
33,mean_cashlimit,0.05970149
34,ind_enq_70,0.042643923
35,count_enquiry_recency_365,0.032693673
36,count_enquiry_recency_90,0.033404406
37,perc_unsecured_others,0.05188344
38,diff_feature_30,0.030561479
39,diff_feature_39,0.0120824445
